"event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","population_best","Actor_Type"
"UKR100099",2022-03-09,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,2,"Insecurity Insight","International","On 9 March 2022, two Russian soldiers raped two women near Bucha, Kyiv. The soldiers broke into the women's residence and took them to an abandoned house where the soldiers assaulted the women. One of the women reported being forced to knock on residents' houses in order to find other women.",0,NA,1682436934,7583,"External/Other Forces"
"UKR100100",2022-03-09,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Brovarskyi","Brovarska","Brovary",50.5181,30.8067,1,"Insecurity Insight","International","On 9 March 2022, two Russian soldiers, including a commander, repeatedly raped at gunpoint a woman inside her home in Brovary, Kyiv. Her husband had been shot and killed earlier and her four-year-old child was threatened. One of the soldiers has been identified and a warrant for his arrest has been issued. The other soldier has not yet been identified. The commander has also been accused of multiple other rapes.",1,NA,1682436934,123289,"External/Other Forces"
"UKR100102",2022-03-09,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Hostomelska","Hostomel",50.5882,30.259,2,"Insecurity Insight","International","Around 9 March 2022, Russian soldiers tortured, raped and killed two women, including a doctor, near Hostomel, Kyiv.",2,NA,1682436934,13688,"External/Other Forces"
"UKR100107",2022-03-09,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,3,"Insecurity Insight","International","Around 9 March 2022, a 34-year-old woman reported witnessing Kadyrovites raping and hanging her neighbours, a 16-year-old girl and a 48-year-old woman, likely in the Bucha district, Kyiv. The woman reported the incident to a psychologist and said she was not raped herself. This incident occurred in March whilst the area was under Russian occupation.",2,"women targeted: girls",1682436934,29995,"External/Other Forces"
"UKR100108",2022-03-09,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,2,"Insecurity Insight","International","Around 9 March 2022, Kadyrov's Chechen soldiers sexually abused a 15-year-old girl and her mother near Irpin, Kyiv. This incident was reported on 22 April 2022.",0,"women targeted: girls",1682436934,13758,"External/Other Forces"
"UKR100098",2022-03-08,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Brovarskyi","Kalytianska","Kalyta",50.7476,31.0211,1,"Insecurity Insight","International","On 8 March 2022, a Russian soldier, commander at that time, raped a woman in Kalyta, Kyiv, when the village was occupied by Russian forces. This event was reported on 4 April 2022.",0,NA,1682436934,1866,"External/Other Forces"
"UKR55416",2022-03-07,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv City","Kyiv",NA,"Kyiv",50.4496,30.5224,3,"Novoye Vremya Ukraine","National","On 7 March 2022, Russian soldiers, including Russian Chechen fighters, raped a woman in Kyiv region and killed her husband.",1,NA,1650394650,196577,"External/Other Forces"
"UKR100110",2022-03-07,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Romanivka",50.4887,30.2595,2,"Insecurity Insight","International","On 7 March 2022, a Kadyrov's soldier raped and killed a woman near Romanivka, Kyiv. The woman was taken from her home and taken to a nearby abandoned home. The woman was buried in the garden of the house by Russian soldiers who found her body.",1,NA,1682436934,2902,"External/Other Forces"
"UKR100111",2022-03-07,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,2,"Insecurity Insight","International","On 7 March 2022, a Kadyrov's soldier threatened and raped at gunpoint a woman near Irpin, Kyiv. The woman reported that four other soldiers entered whilst she was being attacked and took the solider away. The woman's husband was shot and killed after attempting to stop the soldier.",1,NA,1682436934,33868,"External/Other Forces"
"UKR100089",2022-03-04,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kherson","Khersonskyi","Hersonska","Kherson",46.6558,32.6178,2,"Insecurity Insight","International","Around 4 March 2022, Russian forces raped and killed a 17-year-old girl around Kherson, after they occupied the city on 1 March. This incident was reported by a local woman living in the city during a broadcast with CNN.",1,"women targeted: girls",1682436934,148508,"External/Other Forces"
"UKR100097",2022-03-04,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kherson","Khersonskyi","Hersonska","Kherson",46.6558,32.6178,2,"Insecurity Insight","International","On 4 March 2022, Russian soldiers raped a 40-year-old woman and her 17-year-old daughter around Kherson. The woman and her daughter reported attending rallies against the Russian occupation of the city where they encountered psychological and physical abuse from Russian soldiers.",0,"women targeted: girls",1682436934,36282,"External/Other Forces"
"UKR68063",2022-03-01,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Mykolaiv","Bashtanskyi","Bashtanska","Bashtanka",47.4072,32.4387,2,"Insecurity Insight; ZMINA","Other-International","Around 1 March 2022, a Russian soldier raped a 31-year-old woman inside her home near Bashtanka, Mykolaiv. She and her child were also threatened with violence. The soldier was allegedly carrying out filtering measures and checking all the residents of the village.",0,NA,1682436937,12737,"External/Other Forces"
"UKR55415",2022-02-28,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,1,"NBC News","International","On 28 February 2022, a Russian soldier raped a 28-year-old woman in Bucha, Kyiv.",0,NA,1650394650,7583,"External/Other Forces"
"UKR48294",2021-10-13,2021,2,"Political violence","Violence against civilians","Sexual violence","Police Forces of Ukraine (2019-)","Former Police Forces of Ukraine (2019-)",1,17,"Civilian targeting",804,"Europe","Ukraine","Poltava","Lubenskyi","Orzhytska","Chevelcha",49.8394,32.4848,1,"Novoye Vremya Ukraine; Focus; Reporter-ua","National","Around 13 October 2021, a police officer and a former police officer raped a woman in Chevelcha, Poltava. The woman was hospitalised.",0,NA,1634664072,880,"State Actor"
"UKR41497",2020-11-23,2020,2,"Political violence","Violence against civilians","Sexual violence","Police Forces of Ukraine (2019-)",NA,1,17,"Civilian targeting",804,"Europe","Ukraine","Lviv","Stryiskyi","Stryiska","Stryi",49.2622,23.8561,1,"Stop Corruption","National","Around 23 November 2020, two police officers raped and threw a woman out of a window in Stryi, Lviv. [Coded according to the victim's version].",0,NA,1618494651,26396,"State Actor"
"UKR38028",2020-06-01,2020,1,"Political violence","Violence against civilians","Sexual violence","NAF: United Armed Forces of Novorossiya","Donetsk People's Militia",2,27,"Civilian targeting",804,"Europe","Ukraine","Donetsk","Horlivskyi","Horlivska","Horlivka",48.3133,38.0416,1,"Sprotyv","National","On 1 June 2020, a member of the DPR rebel forces reportedly raped and killed a civilian woman in Horlivka, Donetsk.",1,NA,1680636700,14449,"Rebel Group"
"UKR37755",2020-05-23,2020,1,"Political violence","Violence against civilians","Sexual violence","Police Forces of Ukraine (2019-)",NA,1,17,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Obukhivskyi","Kaharlytska","Kaharlyk",49.8623,30.8282,1,"Novoye Vremya Ukraine; 24 Channel; Segodnya","National","On 23 May 2020, two police officers beat, raped, strangled and shot a pistol over the head of a civilian woman who had been called to the police department as a witness in Kaharlyk, Kiev. The police officers are also accused of beating a civilian man the same night.",0,NA,1618501824,5552,"State Actor"
"UKR36758",2020-04-30,2020,1,"Political violence","Violence against civilians","Sexual violence","Unidentified Armed Group (Ukraine)",NA,3,37,"Civilian targeting",804,"Europe","Ukraine","Zhytomyr","Zhytomyrskyi","Zhytomyrska","Zhytomyr",50.2649,28.6767,3,"24 Channel","National","On 30 April 2020, five people met through a dating app a transgender woman in Zhytomyr region, then violently beat and raped her.",0,NA,1679428444,44707,"Political Militias"
"UKR23831",2019-08-08,2019,2,"Political violence","Violence against civilians","Sexual violence","NAF: United Armed Forces of Novorossiya",NA,2,27,"Civilian targeting",804,"Europe","Ukraine","Donetsk","Donetskyi","Donetska","Donetsk",48.015,37.8014,2,"Sprotyv; Segodnya","National","As reported on 8 August, several NAF rebels beat and raped a civilian woman in the area of Donetsk city.",0,NA,1618584160,NA,"Rebel Group"
"UKR40652",2019-05-15,2019,1,"Political violence","Violence against civilians","Sexual violence","Police Forces of Ukraine (2014-2019)",NA,1,17,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Kharkivskyi","Kharkivska","Kharkiv",49.9808,36.2527,1,"ZMINA","Other","On 15 May 2019, police officers tortured with electricity, beat and strangled a man in a police department in Kharkiv in an attempt to extract a confession. Part of the torture was performed on the victim's genitals.",0,NA,1678830929,NA,"State Actor"
"UKR19004",2019-04-20,2019,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Ukraine (2014-2019)",NA,1,17,"Civilian targeting",804,"Europe","Ukraine","Luhansk","Shchastynskyi","Nyzhnoteplivska","Nyzhnyoteple",48.7947,39.3512,1,"Lugansk Media Centre","Subnational","On 20 April 2019, according to Lugansk Media Centre, two Ukrainian servicemen threatened with a weapon and raped a civilian woman in Nyzhnyoteple, Luhansk.",0,NA,1649875502,NA,"State Actor"
"UKR18046",2019-03-07,2019,1,"Political violence","Violence against civilians","Sexual violence","Unidentified Armed Group (Ukraine)","Police Forces of Ukraine (2014-2019) Prison Guards; Prisoners (Ukraine)",3,37,"Civilian targeting",804,"Europe","Ukraine","Zaporizhia","Berdianskyi","Berdianska","Berdiansk",46.7586,36.7845,1,"ZMINA","Other","As reported on 7 March, a former Ukrainian soldier who fought in Donbass was raped by his inmates in a corrective colony in Berdiansk, Zaporizhia. According to a Human Rights Information report the attackers were instructed to do so by the administration of the colony. On the next day, the victim was pressured by law enforcers to write a statement that he has no claims against the police and military prosecution.",0,NA,1654034429,NA,"Political Militias"
"UKR13873",2018-12-20,2018,1,"Political violence","Violence against civilians","Sexual violence","Police Forces of Ukraine (2014-2019)",NA,1,17,"Civilian targeting",804,"Europe","Ukraine","Kyiv City","Kyiv",NA,"Kyiv - Solomyanskyi",50.4267,30.4538,1,"ZMINA","Other","On Dec. 20 2018, policemen arrested four women, two of whom were pregnant. According to their attorney, the police took the women in a separate room near the Politekhnichnyi Institut metro station in Kiev, stripped them to underwear and threatened them with rape. Then one of the policemen started beating the women with a baton.",0,NA,1654034429,NA,"State Actor"
"UKR2200",2018-03-05,2018,1,"Political violence","Violence against civilians","Sexual violence","Unidentified Armed Group (Ukraine)",NA,3,37,"Civilian targeting",804,"Europe","Ukraine","Mykolaiv","Mykolaivskyi","Mykolaivska","Mykolaiv",46.9672,32.0183,1,"ZMINA","Other","On 5 March 2018, three minors killed a gay person in Mykolaiv. Three residents of Luhansk region, age from 16 to 17, found a male LGBT victim on a dating site and made him intimate offers. At his home they filmed an intimate video, threatening to post it for the public, and afterwards drowned the victim in the bathtub.",1,NA,1679428446,NA,"Political Militias"
"UKR1950",2018-02-26,2018,2,"Political violence","Violence against civilians","Sexual violence","Police Forces of Russia (2000-) Prison Guards",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Crimea","Sevastopol",NA,"Sevastopol",44.6121,33.5244,1,"AFP","International","Around 26 February 2018, an activist was tortured in a detention centre in Sevastopol. The man was put in jail for ten days for a social media post in connection to a case against a local anarchist. He stated that prison guards chocked him with a bag over his head, broke his finger, pulled his arms behind his back, pulled his trousers down and threatened to rape him.",0,NA,1631040306,NA,"External/Other Forces"
"UKR39136",2018-02-23,2018,1,"Political violence","Violence against civilians","Sexual violence","NAF: United Armed Forces of Novorossiya","Donetsk People's Militia",2,27,"Civilian targeting",804,"Europe","Ukraine","Donetsk","Horlivskyi","Yenakiievska","Yenakijeve",48.2362,38.2073,1,"24 Channel; Stop Corruption","National","On 23 February 2018, according to the victim's mother, members of DPR rebel militia raped and killed a girl in separatist-controlled Yenakijeve, Donetsk.",1,"women targeted: girls",1680636701,NA,"Rebel Group"
